Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Fiji,59.857,60.207,60.546,60.873,61.191,61.5,61.803,62.102,62.397,62.689,62.978,63.262,63.54,63.811,64.074,64.329,64.577,64.818,65.054,65.284,65.51,65.731,65.948,66.161,66.37,66.575,66.777,66.976,67.172,67.365,67.553,67.734,67.91,68.079,68.243,68.405,68.569,68.737,68.909,69.087,69.267,69.448,69.625,69.796,69.96,70.117,70.269,
France,71.65853659,71.90731707,72.10731707,72.35609756,72.60487805,72.85365854,73.10243902,73.35121951,73.60243902,73.85121951,74.05121951,74.3,74.5,74.8,75,75.3,75.6,75.8,76.1,76.34878049,76.6,76.84878049,77.1,77.3,77.64878049,77.75121951,77.95365854,78.30487805,78.60487805,78.75609756,79.05609756,79.15853659,79.26097561,79.11463415,80.16341463,80.16341463,80.81219512,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,81.96829268,82.2195122,82.67073171,82.27317073,82.27317073,
"Micronesia, Fed. Sts.",61.634,62.071,62.519,62.971,63.419,63.843,64.225,64.552,64.817,65.021,65.171,65.28,65.368,65.452,65.541,65.641,65.752,65.868,65.983,66.098,66.212,66.325,66.439,66.552,66.665,66.776,66.884,66.99,67.092,67.195,67.3,67.414,67.539,67.675,67.82,67.969,68.115,68.251,68.375,68.484,68.582,68.673,68.765,68.862,68.966,69.078,69.195,
Gabon,46.698,47.535,48.363,49.19,50.018,50.846,51.676,52.51,53.344,54.177,55.014,55.864,56.722,57.574,58.398,59.162,59.832,60.382,60.798,61.075,61.215,61.23,61.152,61.012,60.832,60.619,60.372,60.095,59.804,59.527,59.302,59.171,59.154,59.266,59.512,59.89,60.388,60.969,61.597,62.247,62.893,63.519,64.119,64.686,65.211,65.685,66.105,
United Kingdom,71.97317073,72.27317073,72.12439024,72.32439024,72.52439024,72.72439024,72.77560976,73.22439024,73.17560976,73.27560976,73.67560976,74.02682927,74.17804878,74.37804878,74.77804878,74.62926829,74.92926829,75.2804878,75.3804878,75.58292683,75.8804878,76.08292683,76.43414634,76.38536585,76.88536585,76.83658537,77.08780488,77.21097561,77.1902439,77.3902439,77.74146341,77.99268293,78.14390244,78.44634146,78.74634146,79.04878049,79.24878049,79.44878049,79.6,80.05121951,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756,80.95609756,
Georgia,67.452,67.766,68.082,68.401,68.718,69.014,69.266,69.461,69.592,69.665,69.7,69.726,69.768,69.844,69.954,70.083,70.204,70.288,70.323,70.311,70.268,70.22,70.196,70.222,70.307,70.462,70.687,70.966,71.274,71.596,71.907,72.182,72.408,72.575,72.682,72.73,72.73,72.704,72.673,72.65,72.649,72.68,72.742,72.832,72.951,73.096,73.261,
Ghana,49.339,49.623,49.911,50.204,50.505,50.809,51.11,51.405,51.693,51.977,52.268,52.575,52.907,53.272,53.67,54.111,54.605,55.14,55.697,56.251,56.755,57.16,57.439,57.583,57.598,57.507,57.347,57.171,57.032,56.962,56.994,57.147,57.41,57.761,58.187,58.666,59.167,59.663,60.128,60.55,60.924,61.254,61.561,61.86,62.154,62.448,62.742,
Guinea,36.656,36.933,37.255,37.623,38.039,38.498,38.993,39.517,40.068,40.65,41.279,41.977,42.753,43.607,44.522,45.482,46.463,47.434,48.359,49.208,49.949,50.557,51.032,51.381,51.61,51.717,51.701,51.592,51.434,51.273,51.181,51.229,51.451,51.859,52.444,53.17,53.972,54.775,55.521,56.185,56.765,57.282,57.782,58.301,58.846,59.419,60.015,
"Gambia, The",37.824,38.685,39.556,40.429,41.293,42.146,42.989,43.827,44.66,45.483,46.293,47.087,47.86,48.603,49.308,49.958,50.537,51.042,51.476,51.849,52.176,52.481,52.786,53.11,53.461,53.844,54.254,54.676,55.097,55.513,55.924,56.329,56.732,57.132,57.527,57.914,58.289,58.648,58.991,59.316,59.622,59.911,60.187,60.452,60.707,60.954,61.193,
Guinea-Bissau,41.538,41.917,42.295,42.679,43.068,43.465,43.873,44.292,44.717,45.146,45.569,45.979,46.369,46.737,47.084,47.414,47.734,48.054,48.381,48.718,49.071,49.441,49.825,50.213,50.599,50.969,51.306,51.604,51.86,52.079,52.27,52.45,52.636,52.845,53.084,53.357,53.663,53.991,54.333,54.687,55.05,55.424,55.807,56.2,56.598,57,57.403,
Equatorial Guinea,39.738,40.019,40.288,40.55,40.818,41.122,41.493,41.95,42.493,43.111,43.772,44.434,45.054,45.604,46.074,46.469,46.81,47.135,47.473,47.838,48.239,48.677,49.142,49.62,50.104,50.588,51.062,51.521,51.959,52.371,52.752,53.099,53.415,53.709,53.987,54.262,54.55,54.858,55.19,55.543,55.908,56.265,56.601,56.905,57.18,57.434,57.681,
